configuration,num_iterations,global_reward_mean,global_reward_std,final_reward_mean_20,final_reward_std_20,final_reward_min_20,final_reward_max_20,best_recorded_avg_reward,worst_recorded_avg_reward,total_collection_minutes,total_optimization_minutes,total_minutes,average_minutes_per_iteration
MAPPO-GCN,75,-1852.81,1194.5795458404875,-683.0824981689453,86.3564523106034,-878.4000244140625,-573.8499755859375,-573.8499755859375,-4775.7998046875,150.52027688015002,1126.5194085227495,1277.0396854028995,17.027195805371992
IPPO-GCN,75,-2575.7259952799477,1607.5273580987982,-964.0550018310547,192.7035616609767,-1336.0,-712.9000244140625,-712.9000244140625,-5687.7001953125,110.32319558835,447.3858564760833,557.7090520644332,7.436120694192443
MAPPO-GAT,75,-3210.6933365885416,702.8639497061225,-2307.9025146484373,141.36649915478802,-2606.35009765625,-1956.0,-1956.0,-4742.75,227.41453319143318,4884.974593841817,5112.389127033251,68.16518836044334
IPPO-GAT,75,-4051.803987630208,437.3602066344444,-3889.4450073242188,306.3004986071735,-4437.35009765625,-3297.300048828125,-3297.300048828125,-5299.89990234375,136.73337027531667,2526.885336049049,2663.6187063243656,35.514916084324874
